"0001","小日向やよい","やよいです♪",
"0002","綾瀬詩織","詩織です。",
"0003","藤原未央","未央ﾁｬﾝだよ",
"0004","碧井エリカ","初めまして",
"0005","睦月はな","はなですよ～",
"0006","クロエ","ご主人様☆",
"0007","茅野美里","よろしくね",
"0008","リザテイルズ","よろしくね♪",
"0009","立花杏","あんだよ☆",
"0010","南一千花","私のﾀｲﾌﾟです",
"0011","天花寺優姫奈","初めまして♪",
"0012","朝霞わかな","安静にしてて",
"0013","押野桜","初めまして",
"0014","芹沢凛","よろしくね！",
"0015","如月レイナ","教えて先生！",
"0016","月乃しずく","覚えてる…？",
"0017","雨宮ゆい","あなたは…！",
"0018","山田かおるこ","自己紹介",
"0019","丸山円","自己紹介",
"0020","遥風渚","自己紹介",
"0021","椿フラン","自己紹介",
"0022","柊祥子","自己紹介",
"0023","楪澪","自己紹介",
"0024","七瀬小春","常連さんっ♪",
"0025","七瀬楓","自己紹介",
"0026","日月かんな","自己紹介",
"0027","京極もか","よろしくな！",
"0028","東條有純","自己紹介",
"0029","夢咲ほたる","よろしく♪",
"0030","白石瑞希","診察ですよ♪",
"0031","瑠璃垣るり","私の名前？",
"0032","早乙女志穂","一緒に頑張ろ",
"0033","柏木アヤネ","よかとよ～？",
"0034","姫川紗良","また会えた♪",
"0035","くぅこ","ボクはくぅこ",
"0036","城戸澄香","はじめまして",
"0037","辻かをり","久しぶり♪",
"0038","西住マキ","ｷﾐの名前は？",
"0039","小日向花梨","お兄ちゃん♪",
"0040","諸星姉妹","双子です♪",
"0041","百石ゆず葉","健康診断です",
"0042","上宮みく","上宮みくです",
"0043","白瀬秋奈","教育実習生の",
"0044","榎本つばさ","飛鳥でぇす♡",
"0045","矢ノ倉ルミア","頭の片隅に",
"0046","藍田夜風","虹色町の町長",
"0047","灰原なの","私の研究助手",
"0048","伊吹由香里","一緒に成長！",
"0049","星美メイ","ようこそ！",
"0050","望月真冬","初めまして♪",
"0051","シャーロット","シャル？姫？",
"0052","黛うた","今更必要？ｿﾚ",
"0053","東雲アイル","こんにちは",
"0054","後藤真遊美","人妻とも…",
"0055","音無葉月","はろはろ～♪",
"0056","愛川ねね","おじさ～ん♡",
"0057","五十嵐希","担当は全部？",
"0058","井筒キノ","仲間入り♪",
"0059","神原いずみ","よろしくね！",
"0060","齋藤寿世","…え、私？",
"0061","一ノ瀬ちはや","違う…かな？",
"0062","遠坂舞","ただあくまで",
"0063","御影アリス","ｱﾀｼに何か用",
"0064","藤林沙耶","足見すぎ…",
"0065","多々良みほ","初めまして！",
"0066","加賀美蘭","そこのあなた",
"0067","サンタちゃん","",
"0068","ｴｰﾃﾞﾙｶﾞﾙﾄ","探しましてよ",
"0069","皇月歩","こう見えても",
"0070","櫻井みるく","信じられない",
"0071","花城ハルカ","ごゆっくりと",
"0072","燕日和","私に御用",
"0073","上尾まあや","本棚に隠れて",
"0074","佐伯糸","ｷﾐの家庭教師",
"0075","立飛那奈","立飛那奈よ！",
"0076","猫宮くろな","くろなだよ～",
"0077","暁紫音","私の名は",
"0078","白鷺祈","祈といいます",
"0079","結城ゆき","えとっ…その",
"0080","水橋あやか","ｶﾚｶﾉとして",
"0081","雨音涙","雨音涙です！",
"0082","北条ひまり","初めまして",
"0083","長谷川ミア","長谷川ﾐｱだよ",
"0084","月雲もも","私のお友達に",
"0085","宮間空","宮間空です",
"0086","陸奥紬","あー、私？",
"0087","黎香麗","そこのあなた",
"0088","椎名ひとみ","私の名前は",
"0089","大和撫子","覚えなくても",
"0090","北川なつめ","特別だよ♪",
"0091","西園寺青子","待ってるぞ♪",
"0092","赤居凪","赤居凪です",
"0093","兎野みゆ","今日から",
"0094","直江穂香","ど～も～",
"0095","歌代カナデ","私の歌で",
"0096","由良比女緋色","巫女として",
"0097","鈴目陸","はじめまして",
"0098","宇沢るりあ","宇沢るりあよ",
"0099","小日向ミドリ","",
"0100","千歳ゆり","養護教諭の",
"1001","一ノ瀬ゆい","同じｸﾗｽに",
"1002","来栖玲奈","覚えてる？",
"1003","常盤遥香","何かあったら",
"1004","葵サキ","生徒会長の",
"1005","小桜ひより","ﾖﾛｼｸ～！",
"1006","月城真琴","ｷﾐの親友",
"1007","明日見彩","明日見彩です",
